ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
753028896,921953254,1082107097,578357187,224199149,1565879647,1351740707,190974649,19847806584
790393856,922524969,1080703169,578235792,221550374,1565616811,1348103925,190635125,20118939547
752452447,922801368,1082364665,579130927,225089484,1566586693,1348568283,190420126,19842613768
790666865,922805704,1082024095,578457387,223999031,1566869754,1347668051,190845216,20110500748
752947338,922627902,1081613107,579875137,221857581,1566677217,1347714277,190559335,19846514644
790400258,922955904,1081903272,579097180,220237509,1566624276,1347969499,190466741,20107874509
752565193,921816763,1081641370,580250818,222232640,1566032963,1348192770,190974182,19847989802
790995116,922030656,1081088814,575684627,223194869,1565868929,1347870885,190589042,20112764726
752952712,922684440,1081062725,578462368,222991123,1565741043,1347743983,190443514,19846937206
790838857,922802003,1082967413,576919180,222399502,1566773117,1348284093,190910483,20113304839
753189504,922769075,1081356101,578636597,224910173,1565972629,1347469801,190636458,19858988719
791000021,922357597,1084526504,579481528,221069387,1565869406,1347111773,190486974,20115578075
752774391,922343938,1081806653,579010467,221418161,1566847145,1349243021,190485024,19852132518
790887674,921594411,1082188106,576614710,221442956,1566388857,1347346762,190355294,20112051126
752474960,922600813,1081238237,580052339,219579837,1566156771,1348456107,190882256,19835056468
790772210,922543225,1080586654,579695959,221311469,1566299509,1346924090,190871876,20106377055
752127643,922914795,1083718716,579672985,223580473,1566148035,1347294302,190610723,19860732931
790866222,922942294,1081823164,580162743,222308421,1565969245,1347037186,190565014,20125595466
752350509,922631806,1081359043,579716910,221965480,1565863583,1346923091,190886364,19837756307
790618259,921536029,1081279010,578731193,219346311,1565964231,1346707093,190490395,20095095543
752470932,922132458,1082431353,579741220,224261708,1565796012,1349336493,190466943,19868736042
790521045,922741839,1081552551,578803036,220301822,1565950381,1347802991,190490520,20123375630
752746671,922307812,1081736012,579016246,221829363,1566323631,1348110902,190539359,19842482136
790499203,923119169,1084654029,580002406,223748467,1566165712,1347558256,190527367,20114693285
752832981,922683692,1080616348,579399501,224028071,1567107509,1348120491,190556055,19849689759
790037758,922387716,1082310043,578479571,222997467,1566433019,1348721365,190550912,20118641160
753208368,922355516,1082112791,579368075,222359179,1566979422,1348046247,190907533,19852092813
791148622,922677647,1081799122,579882618,223681118,1567130317,1347575467,190710020,20115961247
752851375,922735513,1081208389,577011164,222815017,1566642334,1347841582,190262231,19874458227
790289279,922472748,1080664224,579544028,219896633,1566747687,1347798680,191007530,20140924771
752189471,922924749,1081455891,575817766,223355876,1566959883,1348674640,190528850,19844629761
790579680,922458131,1081285958,579612280,222252920,1566921324,1348071285,190444084,20112721133
752647336,921912803,1081559887,578759368,222365619,1567002924,1346966183,190902396,20342926900
789984481,922486380,1081215000,579269463,222078366,1566723957,1348567223,190636199,20776583833
752777477,922670536,1082700441,578701794,220543752,1566089907,1347988395,190441997,20517396242
791356900,923030074,1081630171,579867780,223102144,1566816797,1348033502,190870119,20775960257
752827010,922841064,1081904191,579575186,221527382,1567540512,1347054392,190420565,20510739603
791151603,922444804,1081563471,579208799,225726457,1566882164,1347177714,190321293,20775025830
754015517,922605129,1082661548,578193946,222414935,1565715210,1347442615,191083508,20516191184
790821131,921670019,1080877131,579970986,221145258,1565583047,1347094928,190463214,20769621185
754084161,922972343,1081744358,577499737,221664524,1565983896,1346695804,190488147,20519997196
790172397,922796419,1081446572,579710403,219601728,1566257452,1346537863,190920435,20771834983
